escenario_id,dosis_N,momento_N,estrategia_riego,fecha_siembra_offset,densidad
0,119.79115383005411,2.0,1.0,11.071252741732842,77380.83516115524
1,8.963925460867816,0.0,0.0,-26.926654127702463,52048.89724819836
2,140.49490728031014,2.0,1.0,18.16968249610634,82113.1216640709
3,39.559211898292226,2.0,0.0,-16.436841634871236,59042.10557675251
4,62.67037928239321,0.0,1.0,-8.513012817465182,64324.65812168988
5,21.085321769271353,0.0,1.0,-22.770746821964106,54819.502118690594
6,14.836011043033764,2.0,1.0,-24.913367642388422,53391.08823840772
7,11.24877493153066,1.0,0.0,-26.143277166332346,52571.14855577844
8,59.05160228563558,2.0,1.0,-9.753736359210656,63497.50909385957
9,173.4236492173655,2.0,1.0,29.459536874525313,89639.69124968354
10,2.2022069151859656,2.0,1.0,-29.244957629079096,50503.361580613935
11,77.25632253902988,2.0,0.0,-3.5121179866183247,67658.58800892111
12,134.24647207971768,0.0,1.0,16.02736185590321,80684.90790393547
13,84.62033435355208,2.0,1.0,-0.9873139359249983,69341.79070938333
14,54.44805030410434,1.0,1.0,-11.332097038592796,62445.268640938135
15,160.20466447375324,0.0,1.0,24.92731353385826,86618.20902257218
16,113.55895324544457,1.0,1.0,8.934498255580998,75956.33217038732
17,90.77663960363537,1.0,1.0,1.1234192926749884,70748.94619511666
18,70.60329089802595,1.0,1.0,-5.793157406391099,66137.89506240594
19,43.28917460307277,1.0,0.0,-15.157997278946477,59894.66848070235
20,151.34669290970118,0.0,1.0,21.890294711897553,84593.5298079317
21,107.25915911154546,0.0,1.0,6.774568838244164,74516.37922549612
22,35.102556914617836,1.0,1.0,-17.964837629273884,58023.441580484076
23,115.8740760753723,1.0,1.0,9.728254654413362,76485.50310294224
24,46.275657760241835,0.0,1.0,-14.134060196488512,60577.293202340996
25,132.3187645225181,0.0,1.0,15.366433550577646,80244.28903371844
26,92.86647648695536,0.0,1.0,1.8399347955275545,71226.62319701837
27,167.8466868197447,2.0,1.0,27.547435481055317,88364.95698737021
28,65.95998677776358,2.0,1.0,-7.385147390481055,65076.56840634596
29,67.6093286636514,2.0,1.0,-6.8196587438909475,65453.56083740604
30,98.89333245432265,1.0,1.0,3.90628541291062,72604.19027527375
31,161.11371593648025,2.0,0.0,25.23898832107895,86825.99221405263
32,138.85961124651647,1.0,1.0,17.60900957023422,81739.33971348948
33,149.20339102887795,1.0,0.0,21.155448352758157,84103.6322351721
34,29.85655466053467,2.0,0.0,-19.763466973530967,56824.35535097936
35,51.836850243205,1.0,1.0,-12.22736563090114,61848.422912732574
36,97.54527473132585,2.0,1.0,3.4440941935974365,72296.06279573162
37,127.83503275820921,2.0,0.0,13.829154088528874,79219.43605901925
38,34.2058172783219,0.0,1.0,-18.27229121886106,57818.47252075929
39,144.6556510186112,2.0,0.0,19.596223206380984,83064.14880425399
40,75.46996828394684,0.0,0.0,-4.124582302646797,67250.27846490213
41,154.58562631379758,2.0,0.0,23.0007861647306,85333.85744315374
42,102.54907214299213,2.0,0.0,5.159681877597308,73439.7879183982
43,110.90671675516283,0.0,1.0,8.025160030341546,75350.10668689436
44,168.58709069511679,0.0,0.0,27.801288238325753,88534.19215888384
45,4.183324748761193,2.0,0.0,-28.565717228996164,50956.188514002555
46,124.64382567339437,1.0,0.0,12.735025945163784,78490.01729677586
47,26.990851636244148,0.0,1.0,-20.745993724716293,56169.337516855805
48,81.61126573608757,1.0,0.0,-2.018994604769972,68654.00359682002
49,20.510866307367415,1.0,0.0,-22.967702980331172,54688.19801311255
